,autor,edicao,link,resumo,tipo_trabalho,titulo
1955,,,https://rebep.org.br/revista/article/view/1292,,,
1956,,,https://rebep.org.br/revista/article/view/1293,,,
1957,,,https://rebep.org.br/revista/article/view/1294,,,
1958,"
								Sérgio Odilon Nadalin
							","
				v. 35 n. 3 (2018): Revista
			",https://rebep.org.br/revista/article/view/1295,"O presente texto tem como objetivo apresentar criticamente um conjunto de documentos que dizem respeito à e/imigração. Trata-se de listas de passageiros embarcados em Hamburgo e desembarcados em São Francisco do Sul, Santa Catarina, entre 1851 e 1889, traduzidas para o português, cujos originais fazem parte do acervo do Arquivo Histórico de Joinville, Santa Catarina. Basicamente, o conteúdo destas fontes inclui as “fichas técnicas” referentes a cada navio e à viagem relacionada, os nomes dos passageiros (constando ou não o nome dos familiares e outros acompanhantes), a idade, profissão, proveniência (geralmente local de origem), estado civil (quando era o caso), religião e observações diversas anotadas pelos tradutores.","
									Notas de pesquisa
						","
		Rumo à América: passageiros da rota Hamburgo–São Francisco do Sul na segunda metade dos Oitocentos
	"
1959,,,https://rebep.org.br/revista/article/view/1296,,,
1960,,,https://rebep.org.br/revista/article/view/1297,,,
1961,,,https://rebep.org.br/revista/article/view/1298,,,
1962,"
								Matheus Alves Albino
							","
				v. 35 n. 2 (2018)
			",https://rebep.org.br/revista/article/view/1299,"A partir da documentação das Matrículas de Enfermos e Relatórios dos Provedores da Santa Casa de Misericórdia de Campinas, traçamos o perfil dos atendidos e analisamos os diferenciais de mortalidade entre escravos e livres, brasileiros e estrangeiros nos primeiros anos de funcionamento desse hospital filantrópico. Os enfermos eram predominantemente homens em idade ativa, fortemente relacionados com a mão de obra disponível para comportar a expansão agrícola e dos serviços urbanos. Por meio de uma técnica de análise do diferencial de mortalidade baseada na decomposição de Oaxaca-Blinder, concluímos que, apesar de as características de escravos favorecerem um diferencial de mortalidade reduzido e de haver incentivos econômicos em seu tratamento, a mortalidade escrava foi superior possivelmente devido às condições de vida impostas pelo cativeiro. Entre a população livre, brasileiros apresentaram mortalidade superior à de estrangeiros. As hipóteses levantadas foram a procura tardia de auxílio por parte dos nacionais, diferenças na estrutura etária e a forte característica de sub-representação feminina na população estrangeira.","
									Artigos originais
						","
		Diferenciais de mortalidade em um hospital filantrópico: a Santa Casa de Misericórdia de Campinas (1876-1885)
	"
1963,"
								Renato Leite Marcondes
							",,,,,
1964,,,https://rebep.org.br/revista/article/view/1300,,,
1965,,,https://rebep.org.br/revista/article/view/1301,,,
1966,,,https://rebep.org.br/revista/article/view/1302,,,
1967,"
								Flavia Maria Galizoni
							","
				v. 36 (2019): Revista
			",https://rebep.org.br/revista/article/view/1303,"
					A produção e as atitudes de Daniel Hogan (1942-2010) permanecem fundamentais para compreender as relações entre população e ambiente no rural brasileiro, especialmente no que diz respeito às grandes migrações, à urbanização acelerada e seus efeitos sobre o meio. Essas contribuições aparecem em estudos que pesquisaram silêncios – grandes lacunas que, até então, existiam na literatura. Assim, Hogan criou perspectivas analíticas inovadoras, que fortaleceram a capacidade de filtrar técnicas para orientar estudos.
				","
									Artigos de revisão
						","
		Ouvindo silêncios: Daniel Hogan, o mundo rural e a natureza
	"
1968,"
								Eduardo Magalhães Ribeiro
							",,,,,
1969,,,https://rebep.org.br/revista/article/view/1304,,,
1970,,,https://rebep.org.br/revista/article/view/1305,,,
1971,,,https://rebep.org.br/revista/article/view/1306,,,
1972,"
								Gilvan Teles Barroso Junior
							","
				v. 36 (2019): Revista
			",https://rebep.org.br/revista/article/view/1307,"A preocupação com a mortalidade por acidentes de trânsito tem crescido em todo o mundo, sendo um importante problema de saúde pública e a principal causa de morte entre jovens de 15 a 29 anos de idade (WHO, 2015). No Brasil, em 2016, aproximadamente 37 mil pessoas morreram em decorrência de acidentes de trânsito, das quais 6.400 (17%) vieram a óbito após ocorrências em rodovias federais. Tendo em vista a relevância dessas mortes, o objetivo do presente artigo é identificar os fatores associados à letalidade dos acidentes de trânsito nas rodovias federais brasileiras em 2016, considerando, além das características das vítimas, informações sobre o contexto de ocorrência desses eventos. Para tal finalidade, foi utilizado um modelo binomial de regressão logística. Os resultados indicam que, em média, as chances de um acidente de","
									Artigos originais
						","
		A letalidade dos acidentes de trânsito nas rodovias federais brasileiras
	"
1973,"
								Ana Carolina Soares Bertho
							",,,"trânsito ser letal aumentam para indivíduos do sexo masculino, pedestres, com ocorrências na região Nordeste, aos domingos, durante a madrugada, nas curvas, nas áreas rurais e para vítimas com idades mais elevadas.",,
1974,"
								Alinne de Carvalho Veiga
							",,,,,
1975,,,https://rebep.org.br/revista/article/view/1308,,,
1976,,,https://rebep.org.br/revista/article/view/1309,,,
1977,,,https://rebep.org.br/revista/article/view/1310,,,
1978,,,https://rebep.org.br/revista/article/view/1311,,,
1979,,,https://rebep.org.br/revista/article/view/1312,,,
1980,,,https://rebep.org.br/revista/article/view/1313,,,
1981,,,https://rebep.org.br/revista/article/view/1314,,,
1982,,,https://rebep.org.br/revista/article/view/1315,,,
1983,,,https://rebep.org.br/revista/article/view/1316,,,
1984,"
								George Martine
							","
				v. 36 (2019): Revista
			",https://rebep.org.br/revista/article/view/1317,"Os cientistas alertam para o fato de que a atividade humana no Antropoceno está provocando a transgressão de vários limites planetários. A equação população, meio ambiente e desenvolvimento ficou insolúvel. Este artigo revisa a trajetória das mudanças climáticas, discute as limitações dos esforços atuais para lidar com elas e analisa a atual crise na governança global, além de refletir sobre os riscos que esse imbróglio político apresenta para o nosso futuro ambiental. As respostas globais são ineficazes devido à deterioração do multilaterismo e à promoção generalizada do crescimento econômico insustentável baseado no consumismo. O descontentamento com as consequências da globalização desestabilizou a governança nacional e, no processo, corroeu ainda mais as perspectivas de uma governança global eficaz para enfrentar crises sociais, políticas e ambientais simbióticas. A frustração com a globalização está proporcionando aos populistas uma plataforma para atrair eleitores com esquemas ingênuos que incluem o negacionismo. Ao mesmo tempo, uma nova divisão do poder econômico, político e científico está surgindo com a Belt and Road Initiative da China. Discutem-se caminhos potenciais e obstáculos para o multilaterismo na tentativa de resolver esse dilema. A fé cega na tecnologia, o negacionismo e a difusão da cultura de consumo dificultam os esforços multilaterais contra as ameaças ambientais. Infelizmente, parece que eleitores, instituições e políticas só se ajustarão depois que a intensificação dos desastres climáticos forçar uma mudança radical de mentalidade.","
									Artigos originais
						","
		Desordem na governança global e o caos nas mudanças climáticas
	"
1985,"
								Jose Eustaquio Alves
							",,,,,
1986,,,https://rebep.org.br/revista/article/view/1318,,,
1987,,,https://rebep.org.br/revista/article/view/1319,,,
1988,,,https://rebep.org.br/revista/article/view/1320,,,
1989,,,https://rebep.org.br/revista/article/view/1321,,,
1990,,,https://rebep.org.br/revista/article/view/1322,,,
1991,,,https://rebep.org.br/revista/article/view/1323,,,
1992,,,https://rebep.org.br/revista/article/view/1324,,,
1993,,,https://rebep.org.br/revista/article/view/1325,,,
1994,,,https://rebep.org.br/revista/article/view/1326,,,
1995,,,https://rebep.org.br/revista/article/view/1327,,,
1996,"
								Maria Silvia Beozzo Bassanezi
							","
				v. 36 (2019): Revista
			",https://rebep.org.br/revista/article/view/1328,"Este estudo analisa a mortalidade por epidemias de febre amarela (1896-1897) e de gripe (1918-1919), registradas no município de Campinas (SP, Brasil), no período de predomínio da economia cafeeira, de imigração de massa e de pré-transição demográfica e epidemiológica – finais do século XIX e primeiras décadas do XX. Tais epidemias – transmitidas por diferentes agentes transmissores –ocorreram em momentos, sazonalidade e ritmos distintos, atingindo de forma diferente os vários segmentos populacionais. Elas disseminaram-se na população local muito em função da grande mobilidade populacional, facilitada pela expansão da rede ferroviária paulista, das condições sanitárias e de vida das pessoas atingidas e da atuação dos órgãos governamentais. Consequentemente, houve implicações na dinâmica e evolução demográfica do município e nas políticas de saúde pública. O presente estudo fez uso de informações contidas nas atas do Registro Civil de óbitos desse município, nos Anuários do Serviço Sanitário do Estado de São Paulo, censos e fontes de época de caráter mais qualitativo.","
									Artigos originais
						","
		Um espaço, dois momentos epidêmicos: surtos de febre amarela (1896-1897) e de gripe (1918-1919) em Campinas, estado de São Paulo
	"
1997,"
								Maisa Faleiros Cunha
							",,,,,
1998,,,https://rebep.org.br/revista/article/view/1329,,,
1999,,,https://rebep.org.br/revista/article/view/1330,,,
2000,,,https://rebep.org.br/revista/article/view/1331,,,
2001,,,https://rebep.org.br/revista/article/view/1332,,,
2002,,,https://rebep.org.br/revista/article/view/1333,,,
2003,,,https://rebep.org.br/revista/article/view/1334,,,
2004,,,https://rebep.org.br/revista/article/view/1335,,,
2005,,,https://rebep.org.br/revista/article/view/1336,,,
2006,,,https://rebep.org.br/revista/article/view/1337,,,
2007,,,https://rebep.org.br/revista/article/view/1338,,,
2008,"
								Camila Fernanda Bassetto
							","
				v. 36 (2019): Revista
			",https://rebep.org.br/revista/article/view/1339,"No presente estudo investiga-se o impacto de fatores externos à escola sobre a escolarização do indivíduo. Renda e escolaridade materna são consideradas para medir o efeito de aspectos familiares no desempenho em matemática do aluno. Para tanto, foram utilizados dados referentes à nota em matemática dos alunos da 3ª série do ensino médio e as respostas dos pais ao questionário socioeconômico, aplicado pelo Sistema de Avaliação do Rendimento Escolar do Estado de São Paulo (Saresp) na edição de 2013. São propostos modelos com variáveis binárias e obtidas estimativas para os parâmetros por meio do software SPSS. Os resultados mostram que rendas mais altas proporcionam melhores desempenhos educacionais, porém há restrições.","
									Artigos originais
						","
		Background familiar e desempenho escolar: uma abordagem com variáveis binárias a partir dos resultados do Saresp
	"
2009,,,,"O nível de escolaridade materna atua positivamente sobre o desempenho do aluno, mas está limitado ao nível adequado de proficiência.",,
2010,,,https://rebep.org.br/revista/article/view/1340,,,
2011,,,https://rebep.org.br/revista/article/view/1341,,,
2012,,,https://rebep.org.br/revista/article/view/1342,,,
2013,,,https://rebep.org.br/revista/article/view/1343,,,
2014,,,https://rebep.org.br/revista/article/view/1344,,,
2015,,,https://rebep.org.br/revista/article/view/1345,,,
2016,,,https://rebep.org.br/revista/article/view/1346,,,
2017,,,https://rebep.org.br/revista/article/view/1347,,,
2018,,,https://rebep.org.br/revista/article/view/1348,,,
2019,"
								Cristina Donza Cancela
							","
				v. 36 (2019): Revista
			",https://rebep.org.br/revista/article/view/1349,"O artigo analisa a imigração do distrito do Porto, Portugal, para o estado do Pará, Brasil, entre 1834 e 1930, por meio dos registros de passaporte do Governo Civil do Porto. Observa-se o fluxo ao longo das décadas, ressaltando as questões econômicas e sociais que movimentaram esses deslocamentos, assim como aspectos pontuais, como epidemias e conflitos sociais, com destaque para a Revolta Cabana, em escala local, e a Primeira Guerra Mundial, em nível global. É analisada a influência dos acompanhantes dos titulares dos passaportes e da reemigração no fluxo de migrantes. Também investiga-se o perfil dos imigrantes quanto à origem e naturalidade por distrito e concelho português. Por fim, o artigo problematiza a migração feminina e as questões de gênero que a envolvem, apontando para a assimetria dos deslocamentos de mulheres, sempre em menor quantidade em relação aos homens, mas com crescimento nas primeiras décadas do século XX.","
									Artigos originais
						","
		O fluxo imigratório do distrito do Porto para o estado do Pará: borracha, conflitos, epidemias e gênero (1834-1930)
	"
2020,,,https://rebep.org.br/revista/article/view/1350,,,
2021,"
								Ernesto Friedrich de Lima Amaral
							","
				v. 36 (2019): Revista
			",https://rebep.org.br/revista/article/view/1351,"Este artigo visa investigar a estrutura invisível de segregação da Região Metropolitana de Goiânia (RMG), a partir das inter-relações entre processos de produção do espaço urbano, princípios de planejamento e dinâmicas populacionais. Essas inter-relações são fundamentais para compreender a estruturação de desigualdades socioeconômicas nas áreas metropolitanas. Realizou-se uma análise do processo de formação da estrutura de segregação na região, abordando os diversos planos urbanísticos desenvolvidos para Goiânia. Apresenta-se, ainda, uma breve análise de indicadores populacionais com base em dados dos Censos Demográficos de 1950 a 2010 e de indicadores locais de associação espacial em 2010, para caracterizar as diferentes dinâmicas da região. Foi desenvolvida uma análise crítica destes aspectos, a fim de identificar e exibir as principais características da formação desta região em um diagrama síntese. Procuramos discutir como esta estrutura espacial resultante contribui para a reprodução de relações sociais segregadas. Os principais resultados indicam que a RMG não possui uma simples centralidade ou uma pluricentralidade. Há uma série de anéis concêntricos com diferentes tipos de centralidade funcionando em um sistema integrado – mas não inclusivo – de segregação. Identificamos também tópicos de pesquisas para investigar dinâmicas sociais, demográficas e econômicas que permitem aumentar o entendimento da formação espacial e de planejamento urbano dessa região. ","
									Artigos originais
						","
		Estruturas invisíveis de segregação na Região Metropolitana de Goiânia
	"
2022,"
								Camilo Vladimir de Lima Amaral
							",,,,,
2023,"
								Rodrigo Coelho de Carvalho
							","
				v. 36 (2019): Revista
			",https://rebep.org.br/revista/article/view/1352,"Na década de 1980, observou-se uma inflexão na redistribuição espacial da população brasileira, atribuída à relativa descentralização econômica iniciada na década de 1970, especialmente das atividades industriais. Essas mudanças no espaço econômico nacional levaram a alterações drásticas nos volumes e direções dos fluxos migratórios. Este artigo investiga o impacto da mudança dos padrões migratórios na hierarquia urbana brasileira, ao longo das últimas três décadas, para determinar se um processo de desconcentração, apontado por alguns autores, está de fato em andamento. Os fluxos migratórios entre os diferentes níveis da hierarquia urbana foram calculados por meio de dados censitários e representados visualmente em uma série de gráficos. Se um processo de desconcentração está ocorrendo, um aumento dos fluxos dos centros urbanos posicionados nos níveis hierárquicos superiores para os centros de menor ordem seria esperado. Este estudo indica um processo de concentração populacional em cidades de tamanhos maiores, mas não no nível mais alto da hierarquia urbana – o que sugere a inflexão das tendências históricas de metropolização no Brasil. A crescente importância das “Capitais Regionais”, o segundo nível mais alto, sugere um processo de reestruturação e descompressão relativa do sistema urbano, embora o ritmo dessas mudanças esteja desacelerando.","
									Artigos originais
						","
		Os fluxos migratórios entre os níveis da hierarquia urbana brasileira no período 1980-2010
	"
2024,"
								Elin Charles-Edwards
							",,,,,
2025,,,https://rebep.org.br/revista/article/view/1353,,,
2026,"
								Claudia Ayer Noronha
							","
				v. 36 (2019): Revista
			",https://rebep.org.br/revista/article/view/1354,"O artigo compara os diferenciais de rendimento do trabalho de bolivianos e nordestinos no Estado de São Paulo, com base nos dados do Censo Demográfico de 2010. A estratégia de comparar migrantes internos com os internacionais é uma forma de tentar entender como operam os mecanismos de seletividade, adaptação e discriminação por origem. Foram utilizados modelos estatísticos para controlar as análises e saber se bolivianos e nordestinos com características as mais próximas possíveis em termos de variáveis censitárias apresentariam um diferencial de salário, deixando apenas o local de nascimento como variável discriminante. Verificamos, a partir da decomposição dos diferenciais de salário, que os atributos produtivos desses imigrantes são valorizados de maneira diferente. As análises demonstram que os bolivianos “levam a melhor” quando comparados com nordestinos, que se encontram em uma situação pior dada a menor valorização de seus atributos individuais","
									Artigos originais
						","
		“Quem leva a pior?” Nordestinos e bolivianos no mercado de trabalho paulista
	"
2027,"
								Elaine Vilela
							",,,,,
2028,"
								Marden Campos
							",,,,,
2029,,,https://rebep.org.br/revista/article/view/1355,,,
2030,,,https://rebep.org.br/revista/article/view/1356,,,
2031,"
								Simone Wajnman
							","
				v. 35 n. 2 (2018)
			",https://rebep.org.br/revista/article/view/1357,,"
									Editorial
						","
		Nota da Editora
	"
2032,"
								Gilvan Guedes
							","
				v. 35 n. 3 (2018): Revista
			",https://rebep.org.br/revista/article/view/1358,,"
									Editorial
						","
		Nota Editorial
	"
2033,"
								Simone Wajnman
							","
				v. 35 n. 1 (2018)
			",https://rebep.org.br/revista/article/view/1359,,"
									Editorial
						","
		Nota da Editora
	"
2034,,,https://rebep.org.br/revista/article/view/1360,,,
2035,,,https://rebep.org.br/revista/article/view/1361,,,
2036,"
								Caroline Carvalho
							","
				v. 36 (2019): Revista
			",https://rebep.org.br/revista/article/view/1362,"Este trabalho analisa se o Brasil está passando por um processo de secularização, utilizando dados da Pesquisa sobre Religião no Brasil, conduzida em 2007. Modelos de escolha discreta foram estimados para entender quais atributos dos indivíduos afetam a desfiliação, descrença e ausência de prática religiosa, para confirmar ou refutar as hipóteses do secularismo. A estimação confirmou algumas hipóteses da teoria. Por exemplo, ter uma opinião liberal acerca de assuntos morais e sociais está positivamente associado com secularismo, enquanto níveis mais baixos de renda incorrem em menores chances de desfiliação. Além disso, o perfil dos desfiliados, descrentes e não praticantes é semelhante. Portanto, é possível afirmar que existe","
									Artigos originais
						","
		Análise da secularização no Brasil
	"
2037,"
								Guilherme Irffi
							",,,secularização no Brasil. ,,
2038,,,https://rebep.org.br/revista/article/view/1363,,,
2039,"
								Adriana Miranda-Ribeiro
							","
				v. 36 (2019): Revista
			",https://rebep.org.br/revista/article/view/1364,"O Brasil vem passando por um processo de adiamento dos nascimentos, o que tem contribuído para que a fecundidade observada seja reduzida pela ação do efeito tempo. Nesse contexto, o primeiro nascimento assume importância, na medida em que o momento da sua ocorrência está relacionado ao dos nascimentos subsequentes e ao potencial de recuperação dos nascimentos adiados. O objetivo deste trabalho é analisar o comportamento dos nascimentos de primeira ordem no Brasil, levando-se em conta a heterogeneidade regional. Buscam-se elementos que possam enriquecer o debate acerca do futuro da fecundidade no país. São utilizados os dados dos Censos Demográficos e as histórias de nascimentos reconstruídas a partir destes, para o período de 1980 a 2010. Os resultados mostram a persistência dos diferenciais regionais e indicam um cenário de adiamento do primeiro filho no Brasil e de aumento da proporção de mulheres que terminam o período reprodutivo sem filhos. Caso os diferenciais regionais se reduzam, a tendência é de acirramento do adiamento e queda adicional dos níveis de fecundidade.","
									Artigos originais
						","
		Baixa fecundidade e adiamento do primeiro filho no Brasil
	"
2040,"
								Ricardo Alexandrino Garcia
							",,,,,
2041,"
								Tereza Cristina de Azevedo Bernardes Faria
							",,,,,
2042,,,https://rebep.org.br/revista/article/view/1365,,,
2043,,,https://rebep.org.br/revista/article/view/1366,,,
2044,,,https://rebep.org.br/revista/article/view/1367,,,
2045,,,https://rebep.org.br/revista/article/view/1368,,,
2046,,,https://rebep.org.br/revista/article/view/1369,,,
2047,,,https://rebep.org.br/revista/article/view/1370,,,
2048,,,https://rebep.org.br/revista/article/view/1371,,,
2049,,,https://rebep.org.br/revista/article/view/1372,,,
2050,"
								Oswaldo Truzzi
							","
				v. 36 (2019): Revista
			",https://rebep.org.br/revista/article/view/1373,"O artigo busca explorar os condicionantes e características distintivas da inserção socioeconômica de sírios e libaneses no interior paulista, entre as décadas de 1880 e 1950. Do início difícil como mascates, portadores de uma cultura distante, os sírios e libaneses lograram se firmar como comerciantes, aproveitando as oportunidades que suas redes (de parentes e conterrâneos) e a economia cafeeira em expansão ofereciam, estabelecendo-se sobretudo nos ramos de roupas, tecidos e armarinhos de secos e molhados e de gado e cereais. Tomando como fonte principal uma série de obras – acadêmicas e memorialísticas –, nas quais o imigrante sírio e libanês é retratado no interior, o artigo indica ainda as principais regiões do oeste paulista nas quais o grupo se concentrou, discute trajetórias que ilustram algumas das possibilidades de mobilidade, a formação de lideranças, o modo como as práticas religiosas se transformaram e a mobilidade acentuada – como doutores e políticos – conquistada por estratos da primeira geração nascida no Brasil.","
									Artigos originais
						","
		Sírios e libaneses no oeste paulista – décadas de 1880 a 1950
	"
2051,,,https://rebep.org.br/revista/article/view/1374,,,
2052,,,https://rebep.org.br/revista/article/view/1375,,,
2053,,,https://rebep.org.br/revista/article/view/1376,,,
2054,,,https://rebep.org.br/revista/article/view/1377,,,
2055,,,https://rebep.org.br/revista/article/view/1378,,,
2056,,,https://rebep.org.br/revista/article/view/1379,,,
2057,"
								Ricardo Neupert
							","
				v. 36 (2019): Revista
			",https://rebep.org.br/revista/article/view/1380,"Métodos indiretos do tipo Brass para estimar a mortalidade nas primeiras idades da vida têm sido usados por mais de quatro décadas, fornecendo estimativas muito robustas para países que não possuem sistemas confiáveis de estatísticas vitais. No entanto, quando as áreas de estimativa são pequenas, o número de crianças mortas pode ser muito baixo, especialmente entre os nascidos de mulheres jovens, que fornecem informações essenciais para estimar a mortalidade recente. Nestes casos, as estimativas podem ser afetadas por erros aleatórios e flutuações anuais inesperadas. Ao mesmo tempo, embora seja muito improvável que as tendências demográficas em uma área pequena sigam padrões muito diferentes daqueles prevalecentes no ambiente mais amplo ao qual pertencem, é possível que certos eventos locais se tornem relevantes em pequenas áreas, causando alguns desvios de padrões que na área maior são válidos. O objetivo deste trabalho é propor uma adaptação da abordagem de estimativa indireta, que permita obter estimativas de mortalidade infantil e das crianças em pequenas áreas. Dessa forma, tal proposta pertence ao escopo dos métodos de estimativa indireta, compartilhando as limitações e vantagens que caracterizam essa metodologia de estimativa. O método é ilustrado com dados do Censo de População e Habitação de Myanmar, 2014. Os resultados indicam que o método proposto aqui fornece estimativas confiáveis e consistentes de mortalidade infantil, em comparação com os resultados do método original de Brass, mesmo em áreas muito pequenas.","
									Artigos originais
						","
		Estimação indireta da mortalidade infantil em pequenas áreas
	"
2058,"
								Rogelio Eduardo Fernandez Menjivar
							",,,,,
2059,"
								Rogelio Eduardo Fernandez Castilla
							",,,,,
2060,,,https://rebep.org.br/revista/article/view/1381,,,
2061,"
								Graciele Pereira Guedes
							","
				v. 36 (2019): Revista
			",https://rebep.org.br/revista/article/view/1382,"Há considerável fluidez na fronteira entre a atuação das empregadas domésticas e as atribuições exercidas pelas cuidadoras profissionais. Mas o quão distintas são estas categorias ocupacionais em relação ao seu perfil socioeconômico? Ao longo deste artigo, com base nos dados da Pesquisa Nacional por Amostra de Domicílios (PNAD), buscamos responder se, durante o período 2002-2015, esses dois grupos apresentaram maiores aproximações ou inflexões em suas características. A partir de cinco dimensões analíticas – características individuais, condições de trabalho, grau de proteção trabalhista e social, situação domiciliar e isolamento/pertencimento –, as estatísticas apresentadas neste trabalho sugerem uma aproximação ao longo dos anos entre o perfil das trabalhadoras domésticas e o das profissionais de cuidado. Essa afirmação é válida para praticamente todos os indicadores analisados. Ambas as ocupações são marcadas pela precariedade no trabalho: combinam baixo nível de remuneração e de proteção social com alta carga horária de trabalho remunerado, somada a extensas jornadas não remuneradas. Ademais, ambas atividades são majoritariamente exercidas por mulheres pretas e pardas. Singularmente, a escolaridade é a única característica socioeconômica que de fato diferencia os dois grupos, consideravelmente mais alta para as cuidadoras.","
									Artigos originais
						","
		Empregadas domésticas e cuidadoras profissionais: compartilhando as fronteiras da precariedade
	"
2062,"
								Elisa Monçores
							",,,,,
2063,,,https://rebep.org.br/revista/article/view/1383,,,
2064,,,https://rebep.org.br/revista/article/view/1384,,,
2065,,,https://rebep.org.br/revista/article/view/1385,,,
2066,,,https://rebep.org.br/revista/article/view/1386,,,
2067,,,https://rebep.org.br/revista/article/view/1387,,,
2068,,,https://rebep.org.br/revista/article/view/1388,,,
2069,"
								Leonardo Souza Silveira
							","
				v. 36 (2019): Revista
			",https://rebep.org.br/revista/article/view/1389,"O artigo discute como variáveis individuais e características do local de moradia influenciam a heteroclassificação e suas diferenças com a autoclassificação racial, na Região Metropolitana de Belo Horizonte. A análise busca compreender a construção social da raça e sua fluidez na sociedade, uma vez que as classificações refletem formas de vivências e interpretações da raça. Os dados utilizados são do BH Area Survey (2005), do Censo Demográfico (2010) e do Atlas do Desenvolvimento Humano (2013), por meio de modelos de regressão logística. Os resultados apontam que a heteroclassificação é influenciada por características individuais e contextuais. Para aqueles que se autoidentificam brancos, a escolaridade, a renda e a distribuição racial local se associam às chances de serem heteroclassificados como brancos, ao passo que para os autoidentificados negros, apenas a escolaridade aumenta as chances de sua heteroclassificação ser branca. Dessa forma, sustenta-se que há fluidez racial na Região Metropolitana de Belo Horizonte, no sentido de que a classificação é influenciada pelas características socioeconômicas e contextuais.","
									Artigos originais
						","
		Fluidez racial na Região Metropolitana de Belo Horizonte: características individuais e contexto local na construção da raça
	"
2070,"
								Maria Carolina Tomas
							",,,,,
2071,,,https://rebep.org.br/revista/article/view/1390,,,
2072,,,https://rebep.org.br/revista/article/view/1391,,,
2073,,,https://rebep.org.br/revista/article/view/1392,,,
2074,,,https://rebep.org.br/revista/article/view/1393,,,
2075,,,https://rebep.org.br/revista/article/view/1394,,,
2076,,,https://rebep.org.br/revista/article/view/1395,,,
2077,,,https://rebep.org.br/revista/article/view/1396,,,
2078,,,https://rebep.org.br/revista/article/view/1397,,,
2079,,,https://rebep.org.br/revista/article/view/1398,,,
2080,,,https://rebep.org.br/revista/article/view/1399,,,
2081,,,https://rebep.org.br/revista/article/view/1400,,,
2082,,,https://rebep.org.br/revista/article/view/1401,,,
2083,,,https://rebep.org.br/revista/article/view/1402,,,
2084,,,https://rebep.org.br/revista/article/view/1403,,,
2085,,,https://rebep.org.br/revista/article/view/1404,,,
2086,,,https://rebep.org.br/revista/article/view/1405,,,
2087,,,https://rebep.org.br/revista/article/view/1406,,,
2088,,,https://rebep.org.br/revista/article/view/1407,,,
2089,,,https://rebep.org.br/revista/article/view/1408,,,
2090,,,https://rebep.org.br/revista/article/view/1409,,,
2091,,,https://rebep.org.br/revista/article/view/1410,,,
2092,,,https://rebep.org.br/revista/article/view/1411,,,
2093,,,https://rebep.org.br/revista/article/view/1412,,,
2094,,,https://rebep.org.br/revista/article/view/1413,,,
2095,,,https://rebep.org.br/revista/article/view/1414,,,
2096,,,https://rebep.org.br/revista/article/view/1415,,,
2097,,,https://rebep.org.br/revista/article/view/1416,,,
2098,,,https://rebep.org.br/revista/article/view/1417,,,
2099,"
								Janaína Guiginski
							","
				v. 36 (2019): Revista
			",https://rebep.org.br/revista/article/view/1418,"O objetivo deste artigo é analisar o impacto da presença e do número de filhos sobre a participação e a qualidade da inserção no mercado de trabalho das mulheres brasileiras. Os dados da Pesquisa de Emprego e Desemprego para seis regiões metropolitanas foram empregados em modelos de regressão logística para avaliar se as mulheres com e sem filhos diferem em termos de probabilidades de participação no mercado de trabalho, precariedade da ocupação, jornada de trabalho parcial e trabalho autônomo. Os resultados para os homens são também analisados, como contraponto. A presença de filhos, em especial em idade pré-escolar, afeta significativamente a condição de inserção das mulheres no mercado de trabalho, diminuindo a probabilidade de participação e elevando as chances de trabalho precário, de jornada parcial e de trabalho autônomo. Para os homens, os resultados são menos consistentes e, muitas vezes, a presença de filhos não se mostra estatisticamente significativa. Chega-se à conclusão de que é necessário redefinir os papéis de gênero, de modo a acomodar os distintos papéis sociais desempenhados pelas mulheres, para que sejam atenuadas as penalidades a que estão submetidas quando buscam conciliar trabalho e família.","
									Artigos originais
						","
		A penalidade pela maternidade: participação e qualidade da inserção no mercado de trabalho das mulheres com filhos
	"
2100,"
								Simone Wajnman
							",,,,,
2101,,,https://rebep.org.br/revista/article/view/1419,,,
2102,,,https://rebep.org.br/revista/article/view/1420,,,
2103,,,https://rebep.org.br/revista/article/view/1421,,,
2104,,,https://rebep.org.br/revista/article/view/1422,,,
2105,,,https://rebep.org.br/revista/article/view/1423,,,
2106,,,https://rebep.org.br/revista/article/view/1424,,,
2107,,,https://rebep.org.br/revista/article/view/1425,,,
2108,,,https://rebep.org.br/revista/article/view/1426,,,
2109,,,https://rebep.org.br/revista/article/view/1427,,,
2110,,,https://rebep.org.br/revista/article/view/1428,,,
2111,,,https://rebep.org.br/revista/article/view/1429,,,
2112,,,https://rebep.org.br/revista/article/view/1430,,,
2113,,,https://rebep.org.br/revista/article/view/1431,,,
