,autor,edicao,link,paginas,tipo_trabalho,titulo
456,"
			Maria Isabel Baltar da Rocha, Susana Rostagnol, María Alicia Gutiérrez
		",,,"
				219-236
			",,"
			Aborto e Parlamento: um estudo sobre Brasil, Uruguai e Argentina
					"
457,"
			Paulo Murad Saad, Tim Miller, Ciro Martínez
		",,,"
				237-261
			",,"
			Impacto das mudanças demográficas nas demandas setoriais na América Latina
					"
458,"
			Francisco de Assis Acurcio, Cristina Mariano Ruas Brandão, Augusto Afonso Guerra Júnior, Mariângela Leal Cherchiglia, Iola Gurgel Andrade, Alessandra Maciel Almeida, Grazielle Dias da Silva, Odilon Vanni de Queiroz, Daniel Resende Faleiros
		",,,"
				263-282
			",,"
			Perfil demográfico e epidemiológico dos usuários de medicamentos de alto custo no Sistema Único de Saúde
					"
459,"
			Patricia Gomes Pimentel, Rosely Sichieri, Rosana Salles-Costa
		",,,"
				283-294
			",,"
			Insegurança alimentar, condições socioeconômicas e indicadores antropométricos em crianças da Região Metropolitana do Rio de Janeiro/Brasil
					"
460,"
			Claudia Cristina de Aguiar Pereira
		",,,"
				295-303
			",,"
			Algumas considerações acerca do uso e aplicação de medidas de qualidade de vida associada à saúde, com ênfase em estudos sobre sobreviventes de câncer na infância e adolescência em países em desenvolvimento
					"
461,"
			Paula Miranda-Ribeiro, Luciene A. Ferreira de Barros Longo, Eduardo Luiz Gonçalves Rios-Neto, Joseph Earl Potter
		","
									v. 26 n. 2 (2009)
							",https://rebep.org.br/revista/issue/view/45,"
				305-308
			","
					Notas de pesquisa
				","
			Fecundidade na adolescência e religião em Belo Horizonte: um primeiro exercício
					"
462,"
			Paula Miranda-Ribeiro
		","
									v. 26 n. 2 (2009)
							",https://rebep.org.br/revista/issue/view/45,"
				309-310
			","
					Resenha
				","
			Legado e relegado: notas sobre as contribuições de Bailey ao debate da questão racial no Brasil
					"
463,"
			Alisson F. Barbieri, Ricardo Ojima
		","
									v. 27 n. 1 (2010)
							",https://rebep.org.br/revista/issue/view/46,"
				3-5
			","
					Editorial
				","
			O passado é o prólogo
					"
464,"
			Kenneth Hill, Bernardo Queiroz
		","
									v. 27 n. 1 (2010)
							",https://rebep.org.br/revista/issue/view/46,"
				7-20
			","
					Artigos originais
				","
			Ajustando o método da equação geral de balanceamento para migração
					"
465,"
			Gilvan Ramalho Guedes, André Junqueira Caetano, Carla Jorge Machado, Eduardo Sonewend Brondízio
		",,,"
				21-33
			",,"
			Identificabilidade e estabilidade dos parâmetros no método Grade of Membership (GoM): considerações metodológicas e práticas
					"
466,"
			Luana Paula Gentil de Brito, Suzana Cavenaghi, Paulo de Martino Jannuzzi
		",,,"
				35-57
			",,"
			Estimativas e projeções populacionais para pequenos domínios: uma avaliação da precisão para municípios do Rio de Janeiro em 2000 e 2007
					"
467,"
			Ana Paula de Andrade Verona, Robert Hummer, Cláudio Santiago Dias Júnior, Luciana Conceição de Lima
		",,,"
				59-74
			",,"
			Mortalidade infantil e envolvimento religioso materno no Brasil
					"
468,"
			Daisy Maria Xavier de Abreu, Emília Sakurai, Lorenza Nogueira Campos
		",,,"
				75-88
			",,"
			A evolução da mortalidade por causas mal definidas na população idosa em quatro capitais brasileiras, 1996-2007
					"
469,"
			Antônio Tadeu Ribeiro de Oliveira
		",,,"
				89-113
			",,"
			Tendências recentes da mobilidade espacial da população no Estado do Rio de Janeiro
					"
470,"
			José Marcos Pinto da Cunha, Alberto Augusto Eichman Jakob
		",,,"
				115-139
			",,"
			Segregação socioespacial e inserção no mercado de trabalho na Região Metropolitana de Campinas
					"
471,"
			Humberto Prates da Fonseca Alves, Claudia Durand Alves, Madalena Niero Pereira, Antonio Miguel Vieira Monteiro
		",,,"
				141-159
			",,"
			Dinâmicas de urbanização na hiperperiferia da metrópole de São Paulo: análise dos processos de expansão urbana e das situações de vulnerabilidade socioambiental em escala intraurbana
					"
472,"
			Marcelo Magalhães Godoy, Clotilde Andrade Paiva
		",,,"
				161-191
			",,"
			Um estudo da qualidade da informação censitária em listas nominativas e uma aproximação da estrutura ocupacional da província de Minas Gerais
					"
473,"
			Antonio Otaviano Vieira Junior, Daniel Souza Barroso
		",,,"
				193-210
			",,"
			Histórias de “movimentos”: embarcações e população portuguesas na Amazônia joanina
					"
474,"
			Luciana Conceição de Lima
		",,,"
				211-226
			",,"
			Idade materna e mortalidade infantil: efeitos nulos, biológicos ou socioeconômicos?
					"
475,"
			Paula Miranda-Ribeiro, Joseph Earl Potter
		","
									v. 27 n. 1 (2010)
							",https://rebep.org.br/revista/issue/view/46,"
				227-231
			","
					Ponto de Vista
				","
			Sobre “se perder”, “vacilar” e não encontrar o “homem certo”: mudanças ideacionais, instituições e a fecundidade abaixo do nível de reposição
					"
476,"
			Ana Amélia Camarano, Solange Kanso
		","
									v. 27 n. 1 (2010)
							",https://rebep.org.br/revista/issue/view/46,"
				233-235
			","
					Notas de pesquisa
				","
			As instituições de longa permanência para idosos no Brasil
					"
477,"
			Douglas Sathler, Ruibran dos Reis
		","
									v. 27 n. 1 (2010)
							",https://rebep.org.br/revista/issue/view/46,"
				237-238
			","
					Resenha
				","
			Mudanças climáticas globais: as dimensões humanas em perspectiva
					"
478,"
			Humberto Corrêa
		",,,"
				239-240
			",,"
			Trinta anos após um filho na adolescência
					"
479,"
			Roberto Nascimento Rodrigues
		","
									v. 27 n. 2 (2010)
							",https://rebep.org.br/revista/issue/view/47,"
				247-249
			","
					Editorial
				","
			Editorial
					"
480,"
			Douglas Sathler, Roberto L. Monte-Mór, José Alberto Magno de Carvalho, Alfredo Costa
		","
									v. 27 n. 2 (2010)
							",https://rebep.org.br/revista/issue/view/47,"
				251-268
			","
					Artigos originais
				","
			A hierarquia urbana na Amazônia
					"
481,"
			Kenya Noronha, Lízia de Figueiredo, Mônica Viegas Andrade
		",,,"
				269-283
			",,"
			Saúde e crescimento econômico entre 1991 e 2000: uma análise empírica para os Estados brasileiros
					"
482,"
			Fabrício Martins Mendonça, Eliane Drumond, Ana Maria Pereira Cardoso
		",,,"
				285-295
			",,"
			Problemas no preenchimento da Declaração de Óbito: estudo exploratório
					"
483,"
			Marília Miranda Forte Gomes, Moema Gonçalves Bueno Fígoli, Aloísio Joaquim Freitas Ribeiro
		",,,"
				297-316
			",,"
			Da atividade à invalidez permanente: um estudo utilizando dados do Regime Geral de Previdência Social (RGPS) do Brasil no período 1999-2002
					"
484,"
			Aloísio Joaquim Freitas Ribeiro, Edna Afonso Reis, Joana Barbabela Barbosa
		",,,"
				317-331
			",,"
			Construção de tábuas de mortalidade de inválidos por meio de modelos estatísticos bayesianos
					"
485,"
			Juliana Mara Winther, André Braz Golgher
		",,,"
				333-359
			",,"
			Uma investigação sobre a aplicação de bônus adicional como política de ação afirmativa na Universidade Federal de Minas Gerais (UFMG)
					"
486,"
			Marina Braga Carneiro, Paula Roberta Chagas, Sergio Odilon Nadalin
		",,,"
				361-384
			",,"
			Nascer e garantir-se no Reino de Deus; Curitiba, séculos XVIII e XIX
					"
487,"
			Ana Maria Goldani
		",,,"
				385-405
			",,"
			“Ageismo” no Brasil: O que significa ? Quem pratica? O que fazer com isto?
					"
488,"
			Eduardo Marandola Jr., Priscila Marchiori Dal Gallo
		",,,"
				407-424
			",,"
			Ser migrante: implicações territoriais e existenciais da migração
					"
489,"
			Claudia Cristina de Aguiar Pereira, Mari Palta, John Mullahy
		",,,"
				425-437
			",,"
			Domínios de saúde e raça nas medidas genéricas de qualidade de vida associada à saúde na literatura dos Estados Unidos
					"
490,"
			Neeru Gupta
		","
									v. 27 n. 2 (2010)
							",https://rebep.org.br/revista/issue/view/47,"
				439-441
			","
					Ponto de Vista
				","
			Taking advantage of the 2010 population census round to strengthen the global evidence base on the health workforce
					"
491,"
			Glaucia dos Santos Marcondes
		","
									v. 27 n. 2 (2010)
							",https://rebep.org.br/revista/issue/view/47,"
				443-446
			","
					Notas de pesquisa
				","
			Processos de constituição, organização e manutenção da vida doméstico-familiar na Cidade do Salvador
					"
492,"
			Daisy Maria Xavier de Abreu, Eliane de Freitas Drumond, Elisabeth Barboza França, Lenice Harumi Ishitami, Deborah Carvalho Malta, Carla Jorge Machado
		",,,"
				447-455
			",,"
			Análise comparativa de classificações de causas evitáveis de morte em capitais brasileiras: o caso das doenças cerebrovasculares
					"
493,"
			Luana Junqueira Dias Myrrha, Pamila Cristina Lima Siviero
		","
									v. 27 n. 2 (2010)
							",https://rebep.org.br/revista/issue/view/47,"
				457-461
			","
					Resenha
				","
			Reforma previdenciária: uma questão demográfica?
					"
494,"
			Eduardo Marandola Jr.
		",,,"
				463-465
			",,"
			Em busca da liberdade do ir-e-vir
					"
495,"
			Luiz Antonio Pinto de Oliveira
		","
									v. 28 n. 1 (2011)
							",https://rebep.org.br/revista/issue/view/48,"
				3-4
			","
					Editorial
				","
			Primeiros resultados do Censo Demográfico 2010
					"
496,"
			Clarissa Guimarães Rodrigues, Eduardo Luiz Gonçalves Rios-Neto, Cristine Campos de Xavier Pinto
		","
									v. 28 n. 1 (2011)
							",https://rebep.org.br/revista/issue/view/48,"
				5-36
			","
					Artigos originais
				","
			Diferenças intertemporais na média e distribuição do desempenho escolar no Brasil: o papel do nível socioeconômico, 1997 a 2005
					"
497,"
			Izabel Guimarães Marri, Simone Wajnman, Mônica Viegas Andrade
		",,,"
				37-56
			",,"
			Reforma da Previdência Social: simulações e impactos sobre os diferenciais de sexo
					"
498,"
			Laetícia Rodrigues de Souza, Eduardo Luiz Gonçalves Rios-Neto, Bernardo Lanza Queiroz
		",,,"
				57-79
			",,"
			A relação entre parturição e trabalho feminino no Brasil
					"
499,"
			Carlos Lobo, Ralfo Matos
		",,,"
				81-101
			",,"
			Migrações e a dispersão espacial da população nas Regiões de Influência das principais metrópoles brasileiras
					"
500,"
			Marcos Leandro Mondardo
		",,,"
				103-131
			",,"
			A dinâmica migratória do Paraná: o caso da região Sudoeste ao longo do século XX
					"
501,"
			Renilson Rodrigues da Silva, Carlos José Caetano Bacha
		",,,"
				133-151
			",,"
			Polígonos de Voronoi como alternativa aos problemas das Áreas Mínimas Comparáveis: uma análise das mudanças populacionais na Região Norte do Brasil
					"
502,"
			Rosa Moura, Sachiko Araki Lira
		",,,"
				153-168
			",,"
			Aplicação da análise exploratória espacial na identificação de configurações territoriais
					"
503,"
			Marcos Vinicius Sanches Abreu, Julio Cesar de Oliveira, Viviane Delfino Albuquerque Andrade, Anderson Donizete Meira
		",,,"
				169-186
			",,"
			Proposta metodológica para o cálculo e análise espacial do IDH intraurbano de Viçosa – MG
					"
504,"
			Ana Paula de Andrade Verona
		",,,"
				187-201
			",,"
			Explicações para a influência da religião no comportamento sexual de adolescentes no Brasil: efeitos diretos e indiretos
					"
505,"
			Serafim Adriano Alberto, Luciana C. de Lima, Roberto Nascimento Rodrigues, Carla Jorge Machado
		",,,"
				203-216
			",,"
			Fatores associados aos óbitos neonatais e pós-neonatais em Moçambique
					"
506,"
			Mirela Castro Santos Camargos, Roberto Nascimento Rodrigues, Carla Jorge Machado
		",,,"
				217-230
			",,"
			Idoso, família e domicílio: uma revisão narrativa sobre a decisão de morar sozinho
					"
507,"
			Gilvan Ramalho Guedes, Bernardo Lanza Queiroz, Alisson Flávio Barbieri, Leah Karin VanWey
		","
									v. 28 n. 1 (2011)
							",https://rebep.org.br/revista/issue/view/48,"
				231-240
			","
					Notas de pesquisa
				","
			Ciclo de vida domiciliar, ciclo do lote e mudança no uso da terra na Amazônia brasileira: revisão crítica da literatura
					"
508,"
			Maria Carolina Tomás
		","
									v. 28 n. 1 (2011)
							",https://rebep.org.br/revista/issue/view/48,"
				241-244
			","
					Resenha
				","
			Self-expression and family values: how are they related to marriage, divorce, and remarriage?
					"
509,"
			Eduardo Marandola Jr.
		",,,"
				245-247
			",,"
			Migração e Geografia
					"
510,"
			Ricardo Ojima
		",,,"
				249-251
			",,"
			Por uma demografia das mudanças climáticas
					"
511,"
			Álvaro de Oliveira D’Antona
		",,,"
				253-254
			",,"
			População, ambiente e sustentabilidade – desafio à demografia ambiental
					"
512,"
			Ralfo Matos
		","
									v. 28 n. 2 (2011)
							",https://rebep.org.br/revista/issue/view/49,"
				263-266
			","
					Editorial
				","
			A transdisciplinaridade em perspectiva
					"
513,"
			Gavin W. Jones
		","
									v. 28 n. 2 (2011)
							",https://rebep.org.br/revista/issue/view/49,"
				267-281
			","
					Artigos originais
				","
			População e desenvolvimento além da primeira transição demográfica: discussão da  experiência de países do Leste e Sudeste da Ásia
					"
514,"
			Pamila Cristina Lima Siviero, Cássio Maldonado Turra, Roberto do Nascimento Rodrigues
		",,,"
				283-301
			",,"
			Diferenciais de mortalidade:  níveis e padrões segundo o sexo no  município de São Paulo de 1920 a 2005
					"
515,"
			Everton Emanuel Campos de Lima, Bernardo Lanza Queiroz
		",,,"
				303-320
			",,"
			A evolução do sub-registro de mortes e causas de óbitos mal definidas em Minas Gerais: diferenciais regionais
					"
516,"
			María Marta Santillán Pizarro, Eleonora Soledad Rojas Cabrera, Dora Estela Celton, Bruno Ribotta
		",,,"
				321-336
			",,"
			A redução da mortalidade infantil a partir da ótica dos direitos: uma comparação entre Argentina e Brasil
					"
517,"
			Gilvan Ramalho Guedes, Pamila Cristina Lima Siviero, André Junqueira Caetano, Carla Jorge Machado, Eduardo Brondízio
		",,,"
				337-347
			",,"
			Incorporando a variabilidade no processo de identificação do modelo de máximo global no Grade of Membership (GoM): considerações metodológicas
					"
518,"
			Raquel Rangel de Meireles Guimarães, Eduardo Luiz Gonçalves Rios-Neto
		",,,"
				349-367
			",,"
			Comparação entre metodologias de idade-período-coorte para o estudo de uma medida da progressão escolar no Brasil
					"
519,"
			Roberta de Moraes Rocha, André Matos Magalhães
		",,,"
				369-387
			",,"
			As amenidades naturais influenciam a escolha locacional dos trabalhadores? Evidências para as regiões metropolitanas brasileiras
					"
520,"
			Ricardo Ojima
		",,,"
				389-403
			",,"
			As dimensões demográficas das mudanças climáticas: cenários de mudança do clima e as tendências do crescimento populacional
					"
521,"
			Diogo de Carvalho Cabral
		",,,"
				405-427
			",,"
			Von Thünen e o abastecimento madeireiro de centros urbanos pré-industriais
					"
522,"
			Pery Teixeira, Marília Brasil, Eliana Mesquita da Silva
		",,,"
				429-448
			",,"
			Demografia de um povo indígena da Amazônia brasileira: os sateré-mawé
					"
523,"
			Gerson Luiz Marinho, Ricardo Ventura Santos, Nilza de Oliveira Martins Pereira
		",,,"
				449-466
			",,"
			Classificação dos domicílios “indígenas” no Censo Demográfico 2000: subsídios para a análise de condições de saúde
					"
524,"
			Ernesto Friedrich de Lima Amaral
		","
									v. 28 n. 2 (2011)
							",https://rebep.org.br/revista/issue/view/49,"
				467--472
			","
					Notas de pesquisa
				","
			Análise do nível, padrão e  determinantes dos fluxos populacionais entre Bahia  e São Paulo
					"
525,"
			Gilvan Ramalho Guedes, Pamila Cristina Lima Siviero, Carla Jorge Machado
		",,,"
				473-478
			",,"
			Aspectos práticos na identificação de um modelo Grade of Membership (GoM) de máximo global: o uso da moda das probabilidades estimadas
					"
526,"
			Thais Tartalha do Nascimento Lombardi
		","
									v. 28 n. 2 (2011)
							",https://rebep.org.br/revista/issue/view/49,"
				479-481
			","
					Resenha
				","
			Contemporaneidade, escalas e lugares – panoramas dos estudos de população e ambiente na atualidade
					"
527,"
			Paula Miranda-Ribeiro
		",,,"
				483-484
			",,"
			Encontro marcado entre demografia e religião
					"
528,"
			Ana Silvia Volpi Scott
		","
									v. 29 n. 1 (2012)
							",https://rebep.org.br/revista/issue/view/50,"
				3-5
			","
					Editorial
				","
			População e família no Brasil contemporâneo: muitas mudanças e algumas reflexões
					"
529,"
			Eduardo Marandola Jr., Francine Modesto
		","
									v. 29 n. 1 (2012)
							",https://rebep.org.br/revista/issue/view/50,"
				7-35
			","
					Artigos originais
				","
			Percepção dos perigos ambientais urbanos e os efeitos de lugar na relação população-ambiente
					"
530,"
			Florencia Molinatti, Enrique Peláez
		",,,"
				37-52
			",,"
			Padrões espaciais dos comportamentos de risco na cidade de Córdoba (Argentina) – 2001
					"
531,"
			Grisell Rodríguez Gómez
		",,,"
				53-65
			",,"
			Metodologia qualitativa na demografia: uma proposta a partir da fecundidade
					"
532,"
			Marília Patta Ramos, Silvio Cezar Arend
		",,,"
				67-86
			",,"
			O impacto da reforma da previdência social rural brasileira nos arranjos familiares: uma análise para entender a composição dos domicílios dado o aumento da renda dos idosos
					"
533,"
			Josivan Ribeiro Justino, Flávio Henrique Miranda de Araújo Freire, Paulo Sérgio Lucio
		",,,"
				87-100
			",,"
			Estimação de sub-registros de óbitos em pequenas áreas com os métodos bayesiano empírico e algoritmo EM
					"
534,"
			Weber Soares, Dimitri Fazito, Sergio Donizete Faria
		",,,"
				101-115
			",,"
			Do método para estimar o tamanho médio das redes pessoais e o tamanho de populações difíceis de contar
					"
535,"
			Gilberto Veras Caldeira, Giovanna Medeiros Rataichesck Fiates, Bethsáida de Abreu Soares Schmitz, Gabriela Dalsasso Ricardo, Francisco de Assis Guedes de Vasconcelos
		",,,"
				117-131
			",,"
			Fatores comportamentais associados ao sobrepeso e à obesidade em escolares do Estado de Santa Catarina
					"
536,"
			Letícia Casado Costa, Luiz Claudio Santos Thuler
		",,,"
				133-145
			",,"
			Fatores associados ao risco para doenças não transmissíveis em adultos brasileiros: estudo transversal de base populacional
					"
537,"
			Ada Ávila Assunção, Ana Flávia Machado, Tânia Maria de Araújo
		",,,"
				147-167
			",,"
			Vulnerabilidades ocupacionais e percepção de saúde em trabalhadores do SUS
					"
538,"
			Oswaldo Mário Serra Truzzi
		",,,"
				169-189
			",,"
			Padrões de nupcialidade na economia cafeeira de São Paulo (1860-1930)
					"
539,"
			Siân L. Curtis
		","
									v. 29 n. 1 (2012)
							",https://rebep.org.br/revista/issue/view/50,"
				191-193
			","
					Ponto de Vista
				","
			Contraceptive use dynamics research needs post fertility transition
					"
540,"
			Antônio Leite Alves Radicchi
		","
									v. 29 n. 1 (2012)
							",https://rebep.org.br/revista/issue/view/50,"
				195-198
			","
					Notas de pesquisa
				","
			A poluição na bacia aérea da região metropolitana de Belo Horizonte e sua repercussão na saúde da população
					"
541,"
			Douglas Cole Libby, Tarcísio R. Botelho, Cristiana Viegas de Andrade
		",,,"
				199-206
			",,"
			Família e demografia em Minas Gerais, séculos XVIII, XIX e XX
					"
542,"
			Szilvia Simai, Rosana Baeninger
		","
									v. 29 n. 1 (2012)
							",https://rebep.org.br/revista/issue/view/50,"
				207-208
			","
					Resenha
				","
			Imigração e contextos culturais
					"
543,"
			Flávia da Fonseca Feitosa
		",,,"
				209-211
			",,"
			População, ambiente e mudanças climáticas: reflexões sobre o desenvolvimento do Centro-Oeste brasileiro
					"
544,"
			Maria Carolina Tomás
		",,,"
				213-216
			",,"
			Single-parenting: a case of class division on ideas of marriage and motherhood
					"
545,"
			Iuri da Costa Leite, Carla Jorge Machado
		","
									v. 29 n. 2 (2012)
							",https://rebep.org.br/revista/issue/view/51,"
				223-224
			","
					Editorial
				","
			Editorial
					"
546,"
			Bernardo Lanza Queiroz, Diana O. T. Sawyer
		","
									v. 29 n. 2 (2012)
							",https://rebep.org.br/revista/issue/view/51,"
				225-238
			","
					Artigos originais
				","
			O que os dados de mortalidade do Censo de 2010 podem nos dizer?
					"
547,"
			Tiago Henrique P. M. França, Eduardo Luis Gonçalves Rios-Neto
		",,,"
				239-257
			",,"
			A escolarização das pessoas com deficiência no Brasil: atendimento, atraso e progressão no ensino fundamental segundo o Censo 2000
					"
548,"
			Flavia Pereira Xavier, Jorge Alexandre Barbosa Neves
		",,,"
				259-275
			",,"
			Estrutura social e transmissão intergeracional de status: uma análise hierárquica
					"
549,"
			Letícia J. Marteleto, Flavio Carvalhaes, Celia Hubert
		",,,"
				277-302
			",,"
			Desigualdades de oportunidades educacionais dos adolescentes no Brasil e no México
					"
550,"
			Marco Túlio Aniceto França, Flávio de Oliveira Gonçalves
		",,,"
				303-322
			",,"
			Sistemas públicos de ensino fundamental e a perpetuação da desigualdade: democracia e qualidade educacional como promotoras de justiça social
					"
551,"
			Jeronimo Oliveira Muniz
		",,,"
				323-348
			",,"
			Dinâmica demográfica da pobreza e da desigualdade de renda: o caso do Brasil
					"
552,"
			Talianne Rodrigues Santos, Windsor Ramos da Silva Júnior, Inácia Sátiro Xavier de França, Alessandro Leite Cavalcanti, Maria das Graças Melo Fernandes
		",,,"
				349-359
			",,"
			Perfil socioeconômico-demográfico do beneficiário do Instituto Nacional do Seguro Social aposentado por invalidez e suas causas, no Estado da Paraíba, no quinquênio 2007-2011
					"
553,"
			Ana Cristina Ferreira, Madalena Ramos
		",,,"
				361-387
			",,"
			Padrões de casamento dos imigrantes brasileiros residentes em Portugal
					"
554,"
			Alessandra Sampaio Chacham, Mônica Bara Maia, Malco Braga Camargo
		",,,"
				389-407
			",,"
			Autonomia, gênero e gravidez na adolescência: uma análise comparativa da experiência de adolescentes e mulheres jovens provenientes de camadas médias e populares em Belo Horizonte
					"
555,"
			Rebeca de Souza e Silva, Solange Andreoni
		",,,"
				409-419
			",,"
			Fatores associados ao aborto induzido entre jovens pobres na cidade de São Paulo, 2007
					"
556,"
			Harley Silva, Alisson Flávio Barbieri, Roberto L. Monte-Mór
		",,,"
				421-449
			",,"
			Demografia do consumo urbano: um estudo sobre a geração de resíduos sólidos domiciliares no município de Belo Horizonte
					"
557,"
			Ralfo Matos
		",,,"
				451-476
			",,"
			População, recursos naturais e poder territorializado: uma perspectiva teórica supratemporal
					"
558,"
			Jeniffer Dantas Ferreira, Arnaldo Cézar Couto, Luciana Correia Alves, Maria do Socorro Pombo de Oliveira, Sergio Koifman, Membros do Brazilian Collaborative Study Group of Infant Acute Leukemia
		",,,"
				477-492
			",,"
			Exposições ambientais e leucemias na infância no Brasil: uma análise exploratória de sua associação
					"
559,"
			Carla Jorge Machado, Mark Drew Crosland Guimarães
		","
									v. 29 n. 2 (2012)
							",https://rebep.org.br/revista/issue/view/51,"
				493-496
			","
					Notas de pesquisa
				","
			On the issue of homophily in respondent-driven sampling: notes based on the case of men who have sex with men in Belo Horizonte, Brazil
					"
560,"
			Fernando Machado Vilhena Dias, Ana Paula de Andrade Verona, Bárbara Avelar Gontijo, Bárbara Roberto Estanislau, Cláudio Santiago Dias Júnior
		",,,"
				497-502
			",,"
			Perfil dos indivíduos diagnosticados com depressão maior no Estado de Minas Gerais, Brasil
					"
561,"
			Adriane Mesquita de Medeiros
		","
									v. 29 n. 2 (2012)
							",https://rebep.org.br/revista/issue/view/51,"
				503-504
			","
					Resenha
				","
			A saúde dos trabalhadores da saúde em foco
					"
562,"
			Oswaldo M. S. Truzzi
		",,,"
				505-507
			",,"
			Novos olhares sobre a imigração boliviana
					"
563,"
			Suzana Cavenaghi
		","
									v. 30 n. 1 (2013)
							",https://rebep.org.br/revista/issue/view/52,"
				3-6
			","
					Editorial
				","
			Nota da Editora
					"
564,"
			Tiago Augusto da Cunha, José Marcos Pinto da Cunha, Alberto Augusto Eichman Jakob
		","
									v. 30 n. 1 (2013)
							",https://rebep.org.br/revista/issue/view/52,"
				7-33
			","
					Artigos originais
				","
			Dinâmica intraurbana e redes sociais na Baixada Santista
					"
565,"
			Eduardo Marandola Jr., Cesar Marques, Luiz Tiago de Paula, Letícia Braga Cassaneli
		",,,"
				35-56
			",,"
			Crescimento urbano e áreas de risco  no litoral norte de São Paulo
					"
566,"
			Everton Emanuel Campos de Lima, Fernando Gomes Braga
		",,,"
				57-75
			",,"
			Da rotatividade migratória à baixa migração: uma análise dos padrões da  mobilidade populacional no  Brasil de 1995-2000
					"
567,"
			Fausto Brito
		",,,"
				77-97
			",,"
			A politização das migrações internacionais: direitos humanos e soberania nacional
					"
568,"
			Ricardo Alexandrino Garcia
		",,,"
				99-123
			",,"
			Estimativas dos emigrantes internacionais do Brasil entre 1995 e 2000: uma aplicação do método das razões intercensitárias de sobrevivência
					"
569,"
			José Manuel Morán Faúndes
		",,,"
				125-144
			",,"
			Contraceptivo de emergência no Chile: estruturação da sua demanda em função das variáveis socioeconômicas
					"
570,"
			Adriana de Miranda-Ribeiro, Eduardo Luiz Gonçalves Rios-Neto, José Alberto Magno de Carvalho
		",,,"
				145-170
			",,"
			Efeitos tempo, parturição e quantum no Brasil:indicadores de período e evidências empíricas
					"
571,"
			Maria Carolina Tomás
		",,,"
				171-198
			",,"
			Revendo estudos sobre famílias: um breve comentário sobre tópicos selecionados
					"
572,"
			Gustavo Henrique Naves Givisiez, Elzira Lúcia de Oliveira
		",,,"
				199-223
			",,"
			Privacidade intradomiciliar: um estudo sobre as necessidades de ampliações em residências
					"
573,"
			João Batista Pamplona
		",,,"
				225-249
			",,"
			Mercado de trabalho, informalidade e comércio ambulante em São Paulo
					"
574,"
			Aline Nogueira Menezes Mourão, Mariana Eugenio Almeida, Ernesto Friedrich de Lima Amaral
		",,,"
				251-270
			",,"
			Seguro-desemprego e formalidade no mercado de trabalho brasileiro
					"
575,"
			James R. Hull, Gilvan Guedes
		",,,"
				271-297
			",,"
			Reconstruindo Babel: comparando o bem-estar multidimensional de diferentes contextos culturais em busca de soluções comuns para o desenvolvimento
					"
576,"
			Pedro Herculano Guimarães Ferreira de Souza
		",,,"
				299-315
			",,"
			Uma metodologia para explicar diferenças entre dados administrativos e pesquisas amostrais, com aplicação para o Bolsa Família e o Benefício de Prestação Continuada na PNAD
					"
577,"
			João Carlos Tedesco, Denize Grzybovski
		","
									v. 30 n. 1 (2013)
							",https://rebep.org.br/revista/issue/view/52,"
				317-324
			","
					Notas de pesquisa
				","
			Dinâmica migratória dos senegaleses no norte do Rio Grande do Sul
					"
578,"
			Susana Beatriz Adamo
		","
									v. 30 n. 1 (2013)
							",https://rebep.org.br/revista/issue/view/52,"
				325-332
			","
					Resenha
				","
			Población y sustentabilidad en la era de los cambios ambientales globales: tendiendo puentes entre conocimiento científico y acción en Brasil
					"
579,"
			Lúcia Avelar
		",,,"
				333-341
			",,"
			Gênero e comportamento eleitoral
					"
580,"
			Suzana Cavenaghi
		","
									v. 30 n. 2 (2013)
							",https://rebep.org.br/revista/issue/view/53,"
				347-348
			","
					Editorial
				","
			Nota da Editora
					"
581,"
			Humberto Prates da Fonseca Alves
		","
									v. 30 n. 2 (2013)
							",https://rebep.org.br/revista/issue/view/53,"
				349-366
			","
					Artigos originais
				","
			Análise da vulnerabilidade socioambiental em Cubatão-SP por meio da integração de dados sociodemográficos e ambientais em escala intraurbana
					"
582,"
			Silvana Amaral, Ana Paula Dal’Asta, Newton Brigatti, Carolina Moutinho Duque de Pinho, Liliam César de Castro Medeiros, Pedro Ribeiro de Andrade, Taíse F. Pinheiro, Pedro Assumpção Alves, Maria Isabel Sobral Escada, Antônio Miguel Vieira Monteiro
		",,,"
				367-399
			",,"
			Comunidades ribeirinhas como forma socioespacial de expressão urbana na Amazônia: uma tipologia para a região do Baixo Tapajós (Pará-Brasil)
					"
583,"
			Álvaro de Oliveira D’Antona, Maria do Carmo Dias Bueno, Ricardo de Sampaio Dagnino
		",,,"
				401-428
			",,"
			Estimativa da população em unidades de conservação na Amazônia Legal brasileira – uma aplicação de grades regulares a partir da Contagem 2007
					"
584,"
			Daylin Cecilia Rodriguez Javique, Cassio M. Turra, Gabriela Marise de Oliveira Bonifácio, Simone Wajnman
		",,,"
				429-444
			",,"
			Efeitos da migração sobre o crescimento populacional de longo prazo das províncias cubanas
					"
585,"
			Kenia Fabiana Cota Mendonça, Eduardo Magalhães Ribeiro, Flávia Maria Galizoni, Hélder Anjos Augusto
		",,,"
				445-463
			",,"
			Formação, sucessão e migração: trajetórias de duas gerações de agricultores do Alto Jequitinhonha, Minas Gerais
					"
